postcode,suburb,state,dc,type,lat,lon
3149,SYNDAL,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.87947,145.143233
3150,GLEN WAVERLEY,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.877631,145.166222
3150,WHEELERS HILL,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.909349,145.188659
3151,BURWOOD EAST,VIC,BURWOOD DC,Delivery Area,-37.858352,145.138553
3151,BURWOOD HEIGHTS,VIC,BURWOOD DC,Delivery Area,-37.852535,145.150335
3152,KNOX CITY CENTRE,VIC,FERNTREE GULLY DELIVERY CENTRE,Delivery Area,-37.869224,145.241382
3152,WANTIRNA,VIC,FERNTREE GULLY DELIVERY CENTRE,Delivery Area,-37.847915,145.228757
3152,WANTIRNA SOUTH,VIC,FERNTREE GULLY DELIVERY CENTRE,Delivery Area,-37.868979,145.235211
3153,BAYSWATER,VIC,BAYSWATER DC,Delivery Area,-37.84126,145.266725
3153,BAYSWATER NORTH,VIC,BAYSWATER DC,Delivery Area,-37.8303,145.275095
3154,THE BASIN,VIC,BAYSWATER DC,Delivery Area,-37.851467,145.307133
3155,BORONIA,VIC,BAYSWATER DC,Delivery Area,-37.861504,145.275762
3156,FERNTREE GULLY,VIC,FERNTREE GULLY DELIVERY CENTRE,Delivery Area,-37.883019,145.295404
3156,LYSTERFIELD,VIC,FERNTREE GULLY DELIVERY CENTRE,Delivery Area,-37.926533,145.303402
3156,LYSTERFIELD SOUTH,VIC,FERNTREE GULLY DELIVERY CENTRE,Delivery Area,-37.927092,145.291015
3156,MOUNTAIN GATE,VIC,FERNTREE GULLY DELIVERY CENTRE,Delivery Area,-37.890107,145.273576
3156,UPPER FERNTREE GULLY,VIC,FERNTREE GULLY DELIVERY CENTRE,Delivery Area,-37.893513,145.310777
3158,UPWEY,VIC,BELGRAVE DELIVERY CENTRE,Delivery Area,-37.903672,145.33131
3159,MENZIES CREEK,VIC,BELGRAVE DELIVERY CENTRE,Delivery Area,-37.921323,145.403546
3159,SELBY,VIC,BELGRAVE DELIVERY CENTRE,Delivery Area,-37.915182,145.372016
3160,BELGRAVE,VIC,BELGRAVE DELIVERY CENTRE,Delivery Area,-37.908422,145.355075
3160,BELGRAVE HEIGHTS,VIC,BELGRAVE DELIVERY CENTRE,Delivery Area,-37.926012,145.352597
3160,BELGRAVE SOUTH,VIC,BELGRAVE DELIVERY CENTRE,Delivery Area,-37.941795,145.356068
3160,TECOMA,VIC,BELGRAVE DELIVERY CENTRE,Delivery Area,-37.906626,145.343987
3161,CAULFIELD NORTH,VIC,BENTLEIGH EAST DC,Delivery Area,-37.901678,145.02357
3162,CAULFIELD,VIC,BENTLEIGH EAST DC,Delivery Area,-37.880479,145.026806
3162,CAULFIELD SOUTH,VIC,BENTLEIGH EAST DC,Delivery Area,-37.886903,145.021979
3162,HOPETOUN GARDENS,VIC,BENTLEIGH EAST DC,Delivery Area,-37.886719,145.010619
3163,CARNEGIE,VIC,BENTLEIGH EAST DC,Delivery Area,-37.889336,145.058121
3163,GLEN HUNTLY,VIC,BENTLEIGH EAST DC,Delivery Area,-37.889239,145.040629
3163,MURRUMBEENA,VIC,BENTLEIGH EAST DC,Delivery Area,-37.89069,145.067589
3164,DANDENONG SOUTH,VIC,DANDENONG SOUTH BC,Post Office Boxes,-38.02243,145.23738
3165,BENTLEIGH EAST,VIC,BENTLEIGH EAST DC,Delivery Area,-37.927402,145.059412
3165,COATESVILLE,VIC,BENTLEIGH EAST DC,Delivery Area,-37.92075,145.072839
3166,HUGHESDALE,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.895763,145.076545
3166,HUNTINGDALE,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.909347,145.103841
3166,OAKLEIGH,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.899854,145.087116
3166,OAKLEIGH EAST,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.900071,145.105574
3167,OAKLEIGH SOUTH,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.926986,145.0964
3168,CLAYTON,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.925488,145.119662
3168,NOTTING HILL,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.901596,145.145776
3169,CLARINDA,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.941228,145.10244
3169,CLAYTON SOUTH,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.939215,145.126625
3170,MULGRAVE,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.869611,145.102866
3170,WAVERLEY GARDENS,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.92246,145.189181
3171,SANDOWN VILLAGE,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.950802,145.15696
3171,SPRINGVALE,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.97103,145.148499
3172,DINGLEY VILLAGE,VIC,BRAESIDE DC,Delivery Area,-37.973323,145.119941
3172,SPRINGVALE SOUTH,VIC,BRAESIDE DC,Delivery Area,-37.97103,145.148499
3173,KEYSBOROUGH,VIC,BRAESIDE DC,Delivery Area,-37.989707,145.149037
3174,NOBLE PARK,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.967254,145.176167
3174,NOBLE PARK EAST,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.94488,145.17965
